diameter(nm), accessible volume(nm3)
0.020000, 0.000000
0.060000, 0.000000
0.100000, 0.000000
0.140000, 0.000000
0.180000, 0.036046
0.220000, 0.015725
0.260000, 0.000298
0.300000, 0.000116
0.340000, 0.000062
0.380000, 0.000046
0.420000, 0.000042
0.460000, 0.102415
0.500000, 0.028462
0.540000, 0.000524
0.580000, 0.000202
0.620000, 0.000152
0.660000, 0.000101
0.700000, 0.000096
0.740000, 0.000072
0.780000, 0.000063
0.820000, 0.000035
0.860000, 0.000039
0.900000, 0.248280
0.940000, 0.001496
0.980000, 0.000499
1.020000, 0.000268
1.060000, 0.000213
1.100000, 0.000165
1.140000, 0.000135
1.180000, 0.000099
1.220000, 0.000106
1.260000, 0.000078
1.300000, 0.000063
1.340000, 0.000070
1.380000, 0.000044
1.420000, 0.000049
1.460000, 0.000040
1.500000, 0.000039
1.540000, 0.000040
1.580000, 0.000040
1.620000, 0.000029
1.660000, 0.000026
1.700000, 0.000029
1.740000, 0.000031
1.780000, 0.000024
1.820000, 0.000019
1.860000, 0.000018
1.900000, 0.000021
1.940000, 0.000014
1.980000, 0.000032
