diameter(nm), reduced accessible volume
0.020000, 0.000635
0.060000, 0.001912
0.100000, 0.003074
0.140000, 0.004301
0.180000, 0.005450
0.220000, 0.006558
0.260000, 0.007448
0.300000, 0.008066
0.340000, 0.008342
0.380000, 0.008314
0.420000, 0.008320
0.460000, 0.008336
0.500000, 0.008120
0.540000, 0.008147
0.580000, 0.008112
0.620000, 0.007721
0.660000, 0.008696
0.700000, 0.021346
0.740000, 0.017233
0.780000, 0.006788
0.820000, 0.006399
0.860000, 0.006034
0.900000, 0.005714
0.940000, 0.005364
0.980000, 0.005162
1.020000, 0.005081
1.060000, 0.004581
1.100000, 0.004501
1.140000, 0.004273
1.180000, 0.004136
1.220000, 0.003866
1.260000, 0.003746
1.300000, 0.003527
1.340000, 0.003437
1.380000, 0.003273
1.420000, 0.003050
1.460000, 0.002844
1.500000, 0.002849
1.540000, 0.002735
1.580000, 0.002595
1.620000, 0.002509
1.660000, 0.002449
1.700000, 0.002310
1.740000, 0.002234
1.780000, 0.002119
1.820000, 0.002067
1.860000, 0.002011
1.900000, 0.001941
1.940000, 0.001830
1.980000, 0.001811
2.020000, 0.001737
2.060000, 0.001619
2.100000, 0.001336
2.140000, 0.000512
2.180000, 0.000182
2.220000, 0.000089
2.260000, 0.000067
2.300000, 0.000089
2.340000, 0.000080
2.380000, 0.000083
2.420000, 0.000060
2.460000, 0.000076
2.500000, 0.000082
2.540000, 0.000068
2.580000, 0.000071
2.620000, 0.000055
2.660000, 0.000070
2.700000, 0.000071
2.740000, 0.000078
2.780000, 0.000049
2.820000, 0.000084
2.860000, 0.000052
2.900000, 0.000061
2.940000, 0.000057
2.980000, 0.000048
3.020000, 0.000047
3.060000, 0.000051
3.100000, 0.000071
3.140000, 0.000045
3.180000, 0.000045
3.220000, 0.000042
3.260000, 0.000039
3.300000, 0.000055
3.340000, 0.000041
3.380000, 0.000053
3.420000, 0.000046
3.460000, 0.000045
3.500000, 0.000030
3.540000, 0.000043
3.580000, 0.000044
3.620000, 0.000040
3.660000, 0.000044
3.700000, 0.000039
3.740000, 0.000035
3.780000, 0.000043
3.820000, 0.000031
3.860000, 0.000036
3.900000, 0.000045
3.940000, 0.000037
3.980000, 0.000032
