diameter(nm), accessible volume(nm3)
0.020000, 0.000000
0.060000, 0.000000
0.100000, 0.000000
0.140000, 0.000000
0.180000, 0.082260
0.220000, 0.036098
0.260000, 0.000602
0.300000, 0.000205
0.340000, 0.000141
0.380000, 0.000105
0.420000, 0.000068
0.460000, 0.234552
0.500000, 0.065372
0.540000, 0.001132
0.580000, 0.000518
0.620000, 0.000353
0.660000, 0.000202
0.700000, 0.000207
0.740000, 0.000178
0.780000, 0.000127
0.820000, 0.000107
0.860000, 0.000091
0.900000, 0.567061
0.940000, 0.003439
0.980000, 0.001134
1.020000, 0.000691
1.060000, 0.000496
1.100000, 0.000368
1.140000, 0.000310
1.180000, 0.000220
1.220000, 0.000191
1.260000, 0.000192
1.300000, 0.000137
1.340000, 0.000134
1.380000, 0.000118
1.420000, 0.000123
1.460000, 0.000100
1.500000, 0.000082
1.540000, 0.000087
1.580000, 0.000069
1.620000, 0.000068
1.660000, 0.000060
1.700000, 0.000062
1.740000, 0.000058
1.780000, 0.000056
1.820000, 0.000043
1.860000, 0.000064
1.900000, 0.000056
1.940000, 0.000049
1.980000, 0.000042
