diameter(nm), reduced accessible volume
0.020000, 0.000000
0.060000, 0.000000
0.100000, 0.000000
0.140000, 0.000000
0.180000, 0.035572
0.220000, 0.015754
0.260000, 0.000247
0.300000, 0.000099
0.340000, 0.000077
0.380000, 0.000051
0.420000, 0.000026
0.460000, 0.102284
0.500000, 0.028470
0.540000, 0.000463
0.580000, 0.000199
0.620000, 0.000135
0.660000, 0.000110
0.700000, 0.000075
0.740000, 0.000071
0.780000, 0.000059
0.820000, 0.000051
0.860000, 0.000047
0.900000, 0.247687
0.940000, 0.001516
0.980000, 0.000465
1.020000, 0.000320
1.060000, 0.000210
1.100000, 0.000155
1.140000, 0.000127
1.180000, 0.000107
1.220000, 0.000095
1.260000, 0.000083
1.300000, 0.000069
1.340000, 0.000050
1.380000, 0.000059
1.420000, 0.000059
1.460000, 0.000044
1.500000, 0.000060
1.540000, 0.000038
1.580000, 0.000043
1.620000, 0.000030
1.660000, 0.000048
1.700000, 0.000027
1.740000, 0.000027
1.780000, 0.000023
1.820000, 0.000020
1.860000, 0.000024
1.900000, 0.000022
1.940000, 0.000017
1.980000, 0.000017
