diameter(nm), reduced accessible volume
0.020000, 0.004129
0.060000, 0.005388
0.100000, 0.005960
0.140000, 0.006652
0.180000, 0.007342
0.220000, 0.007142
0.260000, 0.006188
0.300000, 0.005930
0.340000, 0.005910
0.380000, 0.005526
0.420000, 0.005075
0.460000, 0.005184
0.500000, 0.004790
0.540000, 0.004541
0.580000, 0.004343
0.620000, 0.199123
0.660000, 0.000089
0.700000, 0.000086
0.740000, 0.003928
0.780000, 0.000000
0.820000, 0.000000
0.860000, 0.000000
0.900000, 0.000000
0.940000, 0.000000
0.980000, 0.000000
1.020000, 0.000000
1.060000, 0.000000
1.100000, 0.000000
1.140000, 0.000000
1.180000, 0.000000
1.220000, 0.000000
1.260000, 0.000000
1.300000, 0.000000
1.340000, 0.000000
1.380000, 0.000000
1.420000, 0.000000
1.460000, 0.000000
1.500000, 0.000000
1.540000, 0.000000
1.580000, 0.000000
1.620000, 0.000000
1.660000, 0.000000
1.700000, 0.000000
1.740000, 0.000000
1.780000, 0.000000
1.820000, 0.000000
1.860000, 0.000000
1.900000, 0.000000
1.940000, 0.000000
1.980000, 0.000000
2.020000, 0.000000
2.060000, 0.000000
2.100000, 0.000000
2.140000, 0.000000
2.180000, 0.000000
2.220000, 0.000000
2.260000, 0.000000
2.300000, 0.000000
2.340000, 0.000000
2.380000, 0.000000
2.420000, 0.000000
2.460000, 0.000000
2.500000, 0.000000
2.540000, 0.000000
2.580000, 0.000000
2.620000, 0.000000
2.660000, 0.000000
2.700000, 0.000000
2.740000, 0.000000
2.780000, 0.000000
2.820000, 0.000000
2.860000, 0.000000
2.900000, 0.000000
2.940000, 0.000000
2.980000, 0.000000
3.020000, 0.000000
3.060000, 0.000000
3.100000, 0.000000
3.140000, 0.000000
3.180000, 0.000000
3.220000, 0.000000
3.260000, 0.000000
3.300000, 0.000000
3.340000, 0.000000
3.380000, 0.000000
3.420000, 0.000000
3.460000, 0.000000
3.500000, 0.000000
3.540000, 0.000000
3.580000, 0.000000
3.620000, 0.000000
3.660000, 0.000000
3.700000, 0.000000
3.740000, 0.000000
3.780000, 0.000000
3.820000, 0.000000
3.860000, 0.000000
3.900000, 0.000000
3.940000, 0.000000
3.980000, 0.000000
