diameter(nm), accessible volume(nm3)
0.020000, 0.000000
0.060000, 0.000000
0.100000, 0.000000
0.140000, 0.000000
0.180000, 0.035993
0.220000, 0.015645
0.260000, 0.000265
0.300000, 0.000095
0.340000, 0.000062
0.380000, 0.000042
0.420000, 0.000022
0.460000, 0.102212
0.500000, 0.028829
0.540000, 0.000455
0.580000, 0.000236
0.620000, 0.000139
0.660000, 0.000099
0.700000, 0.000095
0.740000, 0.000075
0.780000, 0.000049
0.820000, 0.000042
0.860000, 0.000050
0.900000, 0.248755
0.940000, 0.001560
0.980000, 0.000503
1.020000, 0.000298
1.060000, 0.000215
1.100000, 0.000160
1.140000, 0.000127
1.180000, 0.000103
1.220000, 0.000091
1.260000, 0.000076
1.300000, 0.000068
1.340000, 0.000066
1.380000, 0.000046
1.420000, 0.000045
1.460000, 0.000055
1.500000, 0.000053
1.540000, 0.000029
1.580000, 0.000036
1.620000, 0.000043
1.660000, 0.000031
1.700000, 0.000022
1.740000, 0.000026
1.780000, 0.000021
1.820000, 0.000035
1.860000, 0.000029
1.900000, 0.000030
1.940000, 0.000022
1.980000, 0.000027
