diameter(nm), accessible volume(nm3)
0.020000, 0.000658
0.060000, 0.001873
0.100000, 0.003028
0.140000, 0.004246
0.180000, 0.005285
0.220000, 0.006199
0.260000, 0.006613
0.300000, 0.006773
0.340000, 0.007180
0.380000, 0.007167
0.420000, 0.007131
0.460000, 0.006960
0.500000, 0.007016
0.540000, 0.006857
0.580000, 0.006671
0.620000, 0.006324
0.660000, 0.031696
0.700000, 0.005978
0.740000, 0.005686
0.780000, 0.005367
0.820000, 0.005074
0.860000, 0.004843
0.900000, 0.004464
0.940000, 0.004287
0.980000, 0.003943
1.020000, 0.003840
1.060000, 0.003641
1.100000, 0.003496
1.140000, 0.003309
1.180000, 0.003052
1.220000, 0.002875
1.260000, 0.002782
1.300000, 0.002677
1.340000, 0.002594
1.380000, 0.002397
1.420000, 0.002275
1.460000, 0.002252
1.500000, 0.002207
1.540000, 0.002054
1.580000, 0.001956
1.620000, 0.001816
1.660000, 0.001765
1.700000, 0.001626
1.740000, 0.001621
1.780000, 0.001609
1.820000, 0.001458
1.860000, 0.001500
1.900000, 0.001402
1.940000, 0.001389
1.980000, 0.001301
