diameter(nm), reduced accessible volume
0.020000, 0.013706
0.060000, 0.013362
0.100000, 0.011784
0.140000, 0.011175
0.180000, 0.010973
0.220000, 0.010125
0.260000, 0.008558
0.300000, 0.008277
0.340000, 0.007904
0.380000, 0.007084
0.420000, 0.006604
0.460000, 0.006190
0.500000, 0.005901
0.540000, 0.005312
0.580000, 0.005185
0.620000, 0.005026
0.660000, 0.004637
0.700000, 0.004685
0.740000, 0.004839
0.780000, 0.004558
0.820000, 0.004297
0.860000, 0.004206
0.900000, 0.004162
0.940000, 0.003886
0.980000, 0.003791
1.020000, 0.003752
1.060000, 0.003636
1.100000, 0.003483
1.140000, 0.003400
1.180000, 0.003377
1.220000, 0.003336
1.260000, 0.003327
1.300000, 0.003153
1.340000, 0.003198
1.380000, 0.003043
1.420000, 0.002951
1.460000, 0.002996
1.500000, 0.002911
1.540000, 0.002983
1.580000, 0.002929
1.620000, 0.002762
1.660000, 0.002936
1.700000, 0.002827
1.740000, 0.002734
1.780000, 0.002707
1.820000, 0.002722
1.860000, 0.002644
1.900000, 0.002581
1.940000, 0.002457
1.980000, 0.002354
2.020000, 0.002347
2.060000, 0.002271
2.100000, 0.002325
2.140000, 0.002393
2.180000, 0.002260
2.220000, 0.002254
2.260000, 0.002142
2.300000, 0.002080
2.340000, 0.002033
2.380000, 0.002050
2.420000, 0.001909
2.460000, 0.002026
2.500000, 0.001911
2.540000, 0.001799
2.580000, 0.001708
2.620000, 0.001664
2.660000, 0.001675
2.700000, 0.001535
2.740000, 0.001476
2.780000, 0.001501
2.820000, 0.001392
2.860000, 0.001384
2.900000, 0.001281
2.940000, 0.001178
2.980000, 0.001162
3.020000, 0.001236
3.060000, 0.001139
3.100000, 0.001108
3.140000, 0.001057
3.180000, 0.000988
3.220000, 0.001037
3.260000, 0.000964
3.300000, 0.000958
3.340000, 0.000943
3.380000, 0.000860
3.420000, 0.000829
3.460000, 0.000788
3.500000, 0.000783
3.540000, 0.000841
3.580000, 0.000738
3.620000, 0.000750
3.660000, 0.000759
3.700000, 0.000639
3.740000, 0.000640
3.780000, 0.000645
3.820000, 0.000644
3.860000, 0.000661
3.900000, 0.000598
3.940000, 0.000603
3.980000, 0.000585
