diameter(nm), accessible volume(nm3)
0.020000, 0.000000
0.060000, 0.000000
0.100000, 0.000000
0.140000, 0.000000
0.180000, 0.035824
0.220000, 0.015626
0.260000, 0.000278
0.300000, 0.000116
0.340000, 0.000065
0.380000, 0.000047
0.420000, 0.000027
0.460000, 0.101718
0.500000, 0.028759
0.540000, 0.000483
0.580000, 0.000214
0.620000, 0.000152
0.660000, 0.000099
0.700000, 0.000088
0.740000, 0.000068
0.780000, 0.000054
0.820000, 0.000048
0.860000, 0.000034
0.900000, 0.248726
0.940000, 0.001469
0.980000, 0.000435
1.020000, 0.000307
1.060000, 0.000199
1.100000, 0.000147
1.140000, 0.000122
1.180000, 0.000112
1.220000, 0.000074
1.260000, 0.000077
1.300000, 0.000066
1.340000, 0.000077
1.380000, 0.000043
1.420000, 0.000053
1.460000, 0.000047
1.500000, 0.000036
1.540000, 0.000039
1.580000, 0.000038
1.620000, 0.000028
1.660000, 0.000040
1.700000, 0.000033
1.740000, 0.000030
1.780000, 0.000023
1.820000, 0.000014
1.860000, 0.000020
1.900000, 0.000018
1.940000, 0.000021
1.980000, 0.000021
