diameter(nm), reduced accessible volume
0.020000, 0.000000
0.060000, 0.000000
0.100000, 0.000000
0.140000, 0.000000
0.180000, 0.000005
0.220000, 0.003013
0.260000, 0.067730
0.300000, 0.000310
0.340000, 0.000129
0.380000, 0.000101
0.420000, 0.000060
0.460000, 0.000058
0.500000, 0.002086
0.540000, 0.145297
0.580000, 0.002191
0.620000, 0.000288
0.660000, 0.000178
0.700000, 0.000111
0.740000, 0.000099
0.780000, 0.000071
0.820000, 0.000058
0.860000, 0.000059
0.900000, 0.000148
0.940000, 0.098299
0.980000, 0.168354
1.020000, 0.000772
1.060000, 0.000370
1.100000, 0.000220
1.140000, 0.000184
1.180000, 0.000147
1.220000, 0.000106
1.260000, 0.000106
1.300000, 0.000086
1.340000, 0.000071
1.380000, 0.000067
1.420000, 0.000071
1.460000, 0.000050
1.500000, 0.000050
1.540000, 0.000042
1.580000, 0.000038
1.620000, 0.000046
1.660000, 0.000033
1.700000, 0.000042
1.740000, 0.000030
1.780000, 0.000025
1.820000, 0.000031
1.860000, 0.000033
1.900000, 0.000028
1.940000, 0.000027
1.980000, 0.000021
2.020000, 0.000018
2.060000, 0.000022
2.100000, 0.000021
2.140000, 0.000020
2.180000, 0.000017
2.220000, 0.000025
2.260000, 0.000016
2.300000, 0.000018
2.340000, 0.000015
2.380000, 0.000010
2.420000, 0.000011
2.460000, 0.000010
2.500000, 0.000017
2.540000, 0.000009
2.580000, 0.000012
2.620000, 0.000016
2.660000, 0.000015
2.700000, 0.000009
2.740000, 0.000007
2.780000, 0.000010
2.820000, 0.000005
2.860000, 0.000012
2.900000, 0.000007
2.940000, 0.000011
2.980000, 0.000005
3.020000, 0.000011
3.060000, 0.000011
3.100000, 0.000011
3.140000, 0.000006
3.180000, 0.000011
3.220000, 0.000007
3.260000, 0.000004
3.300000, 0.000011
3.340000, 0.000010
3.380000, 0.000007
3.420000, 0.000006
3.460000, 0.000006
3.500000, 0.000008
3.540000, 0.000004
3.580000, 0.000007
3.620000, 0.000008
3.660000, 0.000008
3.700000, 0.000008
3.740000, 0.000007
3.780000, 0.000006
3.820000, 0.000004
3.860000, 0.000009
3.900000, 0.000010
3.940000, 0.000004
3.980000, 0.000002
