diameter(nm), accessible volume(nm3)
0.020000, 0.000652
0.060000, 0.001854
0.100000, 0.003159
0.140000, 0.004220
0.180000, 0.005477
0.220000, 0.006231
0.260000, 0.006513
0.300000, 0.006821
0.340000, 0.007095
0.380000, 0.006977
0.420000, 0.007136
0.460000, 0.007075
0.500000, 0.006936
0.540000, 0.006713
0.580000, 0.006581
0.620000, 0.006328
0.660000, 0.031680
0.700000, 0.006015
0.740000, 0.005636
0.780000, 0.005391
0.820000, 0.005095
0.860000, 0.004788
0.900000, 0.004635
0.940000, 0.004291
0.980000, 0.003936
1.020000, 0.003774
1.060000, 0.003508
1.100000, 0.003423
1.140000, 0.003284
1.180000, 0.003006
1.220000, 0.002950
1.260000, 0.002806
1.300000, 0.002762
1.340000, 0.002498
1.380000, 0.002413
1.420000, 0.002334
1.460000, 0.002212
1.500000, 0.002117
1.540000, 0.002065
1.580000, 0.002016
1.620000, 0.001826
1.660000, 0.001766
1.700000, 0.001750
1.740000, 0.001658
1.780000, 0.001677
1.820000, 0.001609
1.860000, 0.001540
1.900000, 0.001436
1.940000, 0.001284
1.980000, 0.001332
