diameter(nm), reduced accessible volume
0.020000, 0.000591
0.060000, 0.001929
0.100000, 0.003056
0.140000, 0.004224
0.180000, 0.005220
0.220000, 0.006131
0.260000, 0.006555
0.300000, 0.006784
0.340000, 0.007043
0.380000, 0.006988
0.420000, 0.007124
0.460000, 0.007086
0.500000, 0.006822
0.540000, 0.006667
0.580000, 0.006762
0.620000, 0.006394
0.660000, 0.031927
0.700000, 0.005984
0.740000, 0.005730
0.780000, 0.005267
0.820000, 0.005159
0.860000, 0.004643
0.900000, 0.004531
0.940000, 0.004353
0.980000, 0.004004
1.020000, 0.003857
1.060000, 0.003706
1.100000, 0.003401
1.140000, 0.003263
1.180000, 0.003070
1.220000, 0.002962
1.260000, 0.002735
1.300000, 0.002663
1.340000, 0.002546
1.380000, 0.002418
1.420000, 0.002351
1.460000, 0.002127
1.500000, 0.002222
1.540000, 0.001996
1.580000, 0.001940
1.620000, 0.001869
1.660000, 0.001832
1.700000, 0.001782
1.740000, 0.001644
1.780000, 0.001531
1.820000, 0.001533
1.860000, 0.001477
1.900000, 0.001407
1.940000, 0.001358
1.980000, 0.001281
